Hold 04;Nej;naturressourcer;21;8;blanding;Uden;35
Hold 01;Ja;jordbrugsíŸkonomi;22;10;fysisk;Med;45
Hold 01;Ved ikke / Hverken ja eller nej;naturressourcer;24;10;fysisk;Uden;30
Hold 02;Ja;naturressourcer;23;30;fysisk;Med;35
Hold 07;Ved ikke / Hverken ja eller nej;biologi-bioteknologi;21;30;blanding;Uden;45
Hold 07;Ja;husdyrvidenskab;23;60;online;Uden;30
Hold 07;Ja;biologi-bioteknologi;21;27;blanding;Uden;30
Hold 01;Ja;naturressourcer;22;30;fysisk;Uden;45
Hold 05;Ved ikke / Hverken ja eller nej;jordbrugsíŸkonomi;21;6;fysisk;Uden;30
Hold 02;Nej;biologi-bioteknologi;19;55;blanding;Uden;25
Hold 05;Ved ikke / Hverken ja eller nej;jordbrugsíŸkonomi;22;20;fysisk;Uden;45
Hold 01;Ved ikke / Hverken ja eller nej;naturressourcer;23;10;fysisk;Med;40
Hold 06;Ja;naturressourcer;26;15;fysisk;Uden;45
Hold 03;Ja;naturressourcer;26;15;fysisk;Uden;40
Hold 01;Ved ikke / Hverken ja eller nej;naturressourcer;27;20;fysisk;Uden;30
Hold 02;Ja;biologi-bioteknologi;20;35;blanding;Med;50
Hold 06;Ved ikke / Hverken ja eller nej;naturressourcer;25;20;fysisk;Med;40
Hold 01;Ved ikke / Hverken ja eller nej;jordbrugsíŸkonomi;22;30;fysisk;Uden;15
Hold 02;Ja;biologi-bioteknologi;24;25;blanding;Med;45
Hold 05;Ved ikke / Hverken ja eller nej;husdyrvidenskab;21;40;fysisk;Med;50
Hold 07;Ja;naturressourcer;22;25;fysisk;Uden;30
Hold 04;Ja;naturressourcer;22;15;fysisk;Uden;30
Hold 01;Nej;jordbrugsíŸkonomi;23;1;fysisk;Med;25
Hold 01;Ved ikke / Hverken ja eller nej;naturressourcer;23;45;fysisk;Uden;35
Hold 02;Ja;naturressourcer;25;35;fysisk;Uden;2
Hold 01;Ved ikke / Hverken ja eller nej;naturressourcer;23;5;fysisk;Med;35
Hold 01;Ved ikke / Hverken ja eller nej;ikke en af de fire ovenfor;30;10;online;Med;45
Hold 04;Ja;biologi-bioteknologi;23;5;fysisk;Uden;45
Hold 01;Ja;naturressourcer;25;10;fysisk;Uden;50
Hold 07;Ja;jordbrugsíŸkonomi;22;30;fysisk;Uden;120
Hold 05;Ja;jordbrugsíŸkonomi;22;10;fysisk;Med;20
Hold 03;Nej;biologi-bioteknologi;27;15;fysisk;Uden;45
Hold 02;Ja;naturressourcer;23;30;online;Uden;45
Hold 04;Ja;naturressourcer;25;15;fysisk;Det har jeg ingen mening om;90
Hold 03;Ja;husdyrvidenskab;23;35;blanding;Med;30
Hold 06;Ja;naturressourcer;22;17;fysisk;Uden;20
Hold 03;Ved ikke / Hverken ja eller nej;biologi-bioteknologi;20;20;blanding;Uden;45
Hold 06;Ja;husdyrvidenskab;25;5;blanding;Med;35
Hold 07;Ved ikke / Hverken ja eller nej;biologi-bioteknologi;21;50;online;Med;45
Hold 01;Nej;biologi-bioteknologi;21;15;blanding;Uden;30
Hold 06;Nej;biologi-bioteknologi;22;30;blanding;Uden;35
Hold 01;Ja;naturressourcer;23;15;blanding;Uden;50
Hold 07;Nej;naturressourcer;23;35;blanding;Uden;20
Hold 05;Ja;husdyrvidenskab;23;70;blanding;Uden;45
Hold 07;Ja;biologi-bioteknologi;24;20;fysisk;Det har jeg ingen mening om;45
Hold 06;Ja;husdyrvidenskab;20;65;blanding;Uden;30
Hold 02;Nej;naturressourcer;22;3;fysisk;Uden;20
Hold 01;Ja;naturressourcer;23;25;blanding;Uden;90
Hold 07;Ved ikke / Hverken ja eller nej;biologi-bioteknologi;23;20;fysisk;Med;40
Hold 01;Ja;biologi-bioteknologi;20;15;blanding;Uden;55
Hold 06;Ja;biologi-bioteknologi;22;20;blanding;Uden;50
Hold 04;Ved ikke / Hverken ja eller nej;naturressourcer;22;7;fysisk;Uden;20
Hold 03;Ved ikke / Hverken ja eller nej;biologi-bioteknologi;30;0;online;Med;45
Hold 03;Ja;husdyrvidenskab;22;60;fysisk;Med;30
Hold 04;Ja;biologi-bioteknologi;20;45;blanding;Med;30
Hold 07;Ved ikke / Hverken ja eller nej;jordbrugsíŸkonomi;23;2;fysisk;Uden;30
Hold 01;Ved ikke / Hverken ja eller nej;naturressourcer;22;15;blanding;Uden;45
Hold 02;Ja;husdyrvidenskab;22;90;blanding;Uden;45
Hold 01;Ved ikke / Hverken ja eller nej;jordbrugsíŸkonomi;22;90;online;Uden;20
Hold 04;Nej;biologi-bioteknologi;25;30;online;Uden;40
Hold 03;Ja;naturressourcer;21;30;blanding;Uden;120
Hold 01;Ja;naturressourcer;25;15;fysisk;Uden;35
Hold 06;Ja;biologi-bioteknologi;22;15;blanding;Uden;45
Hold 06;Ja;naturressourcer;23;25;fysisk;Uden;30
Hold 06;Ja;biologi-bioteknologi;23;30;online;Uden;60
Hold 05;Ja;biologi-bioteknologi;22;45;online;Uden;45
Hold 03;Nej;naturressourcer;22;15;blanding;Uden;45
Hold 07;Nej;biologi-bioteknologi;20;64;blanding;Uden;40
Hold 02;Ved ikke / Hverken ja eller nej;husdyrvidenskab;21;25;fysisk;Med;45
Hold 03;Ved ikke / Hverken ja eller nej;husdyrvidenskab;21;45;online;Uden;30
Hold 06;Ja;biologi-bioteknologi;19;4;fysisk;Med;45
Hold 06;Ja;biologi-bioteknologi;20;55;blanding;Med;45
Hold 06;Ved ikke / Hverken ja eller nej;biologi-bioteknologi;20;15;fysisk;Uden;25
Hold 04;Ja;jordbrugsíŸkonomi;23;20;fysisk;Med;30
Hold 02;Ja;biologi-bioteknologi;23;40;blanding;Med;60
Hold 02;Ved ikke / Hverken ja eller nej;husdyrvidenskab;22;30;fysisk;Uden;40
Hold 06;Ja;biologi-bioteknologi;33;30;fysisk;Med;60
Hold 06;Ja;husdyrvidenskab;32;25;fysisk;Uden;15
Hold 07;Ved ikke / Hverken ja eller nej;biologi-bioteknologi;23;20;fysisk;Uden;60
Hold 05;Ved ikke / Hverken ja eller nej;biologi-bioteknologi;20;10;blanding;Med;30
Hold 07;Nej;biologi-bioteknologi;21;25;blanding;Uden;45
Hold 06;Ved ikke / Hverken ja eller nej;naturressourcer;26;10;fysisk;Med;30
Hold 02;Ja;biologi-bioteknologi;21;25;fysisk;Med;45
Hold 03;Ved ikke / Hverken ja eller nej;naturressourcer;24;10;fysisk;Det har jeg ingen mening om;35
Hold 01;Ja;naturressourcer;24;13;blanding;Uden;40
Hold 02;Ved ikke / Hverken ja eller nej;jordbrugsíŸkonomi;21;25;fysisk;Uden;30
Hold 05;Nej;naturressourcer;31;20;fysisk;Uden;100
Hold 07;Nej;biologi-bioteknologi;23;15;fysisk;Med;30
Hold 03;Ja;jordbrugsíŸkonomi;22;15;fysisk;Uden;45
Hold 03;Ja;biologi-bioteknologi;23;5;online;Uden;30
Hold 07;Ja;biologi-bioteknologi;24;15;fysisk;Uden;40
Hold 07;Ja;biologi-bioteknologi;21;15;blanding;Uden;45
Hold 02;Ved ikke / Hverken ja eller nej;husdyrvidenskab;23;12;fysisk;Uden;50
Hold 03;Ved ikke / Hverken ja eller nej;biologi-bioteknologi;22;30;blanding;Uden;45
Hold 02;Ja;ikke en af de fire ovenfor;22;15;blanding;Uden;40
Hold 01;Ja;jordbrugsíŸkonomi;26;40;fysisk;Uden;40
Hold 01;Ved ikke / Hverken ja eller nej;husdyrvidenskab;22;15;fysisk;Uden;45
Hold 04;Ved ikke / Hverken ja eller nej;naturressourcer;24;15;fysisk;Med;30
Hold 04;Ja;naturressourcer;25;20;fysisk;Med;45
Hold 05;Nej;naturressourcer;22;25;blanding;Uden;45
Hold 04;Ja;naturressourcer;21;4;blanding;Det har jeg ingen mening om;35
Hold 05;Ja;husdyrvidenskab;21;30;online;Det har jeg ingen mening om;45
Hold 02;Ja;naturressourcer;22;15;fysisk;Uden;30
Hold 01;Nej;naturressourcer;24;1;fysisk;Med;45
Hold 04;Ja;husdyrvidenskab;21;25;online;Med;45
Hold 01;Ved ikke / Hverken ja eller nej;naturressourcer;25;30;online;Det har jeg ingen mening om;45
Hold 01;Ja;husdyrvidenskab;23;15;fysisk;Med;45
Hold 02;Ja;naturressourcer;26;20;fysisk;Uden;45
Hold 03;Ved ikke / Hverken ja eller nej;biologi-bioteknologi;21;5;fysisk;Uden;45
Hold 05;Nej;biologi-bioteknologi;21;15;blanding;Uden;60
Hold 02;Ved ikke / Hverken ja eller nej;naturressourcer;25;40;fysisk;Uden;40
Hold 03;Ja;jordbrugsíŸkonomi;24;45;blanding;Uden;45
Hold 02;Nej;husdyrvidenskab;23;45;fysisk;Uden;30
Hold 03;Ved ikke / Hverken ja eller nej;biologi-bioteknologi;22;25;blanding;Det har jeg ingen mening om;50
Hold 07;Ved ikke / Hverken ja eller nej;husdyrvidenskab;22;70;blanding;Uden;30
Hold 07;Ja;jordbrugsíŸkonomi;22;10;fysisk;Uden;10
Hold 03;Ved ikke / Hverken ja eller nej;biologi-bioteknologi;21;8;fysisk;Med;40
Hold 05;Nej;husdyrvidenskab;21;40;fysisk;Uden;20
Hold 05;Nej;biologi-bioteknologi;23;3;blanding;Uden;20
Hold 04;Ved ikke / Hverken ja eller nej;naturressourcer;25;11;fysisk;Uden;40
Hold 02;Nej;husdyrvidenskab;22;10;fysisk;Med;45
Hold 02;Ved ikke / Hverken ja eller nej;husdyrvidenskab;21;30;online;Uden;35
Hold 05;Nej;biologi-bioteknologi;21;20;fysisk;Med;0
Hold 06;Ja;jordbrugsíŸkonomi;20;5;fysisk;Uden;45
